municipality_from,municipality_to,flow
199,260,2657.55
271,260,2204.01
294,260,1999.4
299,260,1665.29
798,260,1288.23
260,199,4553.9
260,299,3387.56
260,271,1012.14
260,273,922.218
260,798,809.212
798,199,14173.7
797,199,5404.15
166,199,5182.35
599,199,3859.57
199,798,3938.68
199,799,3245.73
199,167,3169.08
199,299,2279.84
798,797,20358.9
799,797,7636.28
974,797,3389.53
599,797,2679.47
877,797,2670.66
797,798,22685.5
797,799,19049.8
797,599,2518.76
797,661,2329.01
798,599,3273.28
290,599,2211.85
297,599,2035.14
503,599,1812.67
599,798,7235.47
599,799,3387.55
599,592,2765.68
798,299,2771.06
281,299,1127.42
268,299,1108.16
299,199,3651.03
299,798,1817.87
299,799,1333.27
299,268,1269.58
798,799,20276.2
661,799,6043.39
974,799,5631.35
283,799,3801.54
799,798,10593.8
799,661,6346.45
799,660,2935.2
799,199,2641.37
763,798,5584.54
960,798,4672.66
798,763,6244.3
467,499,1986.06
797,499,1283.22
798,499,972.324
383,499,947.932
474,499,773.376
499,798,1539.9
499,799,1513.59
499,461,1161.3
499,467,1013.81
499,797,958.354
